ordernumber,orderdate,city,state,territory,postalcode,productcode,productline,quantityordered,priceeach,msrp,sales,sales_pred_rf,ano,mes,dia_semana,error_prediccion,porcentaje_error_prediccion
10388,2005-03-03,New Bedford,MA,No asignado,50553,S10_1678,Motorcycles,42,76.36,95,3207.12,3197.1,2005,3,Thursday,-10.02,-0.0
10403,2005-04-08,Liverpool,Isle of Wight,EMEA,WX1 6LT,S10_1678,Motorcycles,24,100.0,95,2434.56,2589.36,2005,4,Friday,154.8,0.06
10417,2005-05-13,Madrid,No asignado,EMEA,28034,S10_1678,Motorcycles,66,100.0,95,7516.08,7965.78,2005,5,Friday,449.7,0.06
10103,2003-01-29,Stavern,No asignado,EMEA,4110,S10_1949,Classic Cars,26,100.0,214,5404.62,4730.76,2003,1,Wednesday,-673.86,-0.12
10112,2003-03-24,Lule,No asignado,EMEA,S-958 22,S10_1949,Classic Cars,29,100.0,214,7209.11,6276.6,2003,3,Monday,-932.51,-0.13
10126,2003-05-28,Madrid,No asignado,EMEA,28023,S10_1949,Classic Cars,38,100.0,214,7329.06,7192.08,2003,5,Wednesday,-136.98,-0.02
10140,2003-07-24,Burlingame,CA,No asignado,94217,S10_1949,Classic Cars,37,100.0,214,7374.1,7084.22,2003,7,Thursday,-289.88,-0.04
10150,2003-09-19,Singapore,No asignado,Japan,79903,S10_1949,Classic Cars,45,100.0,214,10993.5,8894.1,2003,9,Friday,-2099.4,-0.19
10163,2003-10-20,NYC,NY,No asignado,10022,S10_1949,Classic Cars,21,100.0,214,4860.24,4460.37,2003,10,Monday,-399.87,-0.08
10174,2003-11-06,South Brisbane,Queensland,APAC,4101,S10_1949,Classic Cars,34,100.0,214,8014.82,6622.17,2003,11,Thursday,-1392.65,-0.17
10183,2003-11-13,Philadelphia,PA,No asignado,71270,S10_1949,Classic Cars,23,100.0,214,5372.57,4494.48,2003,11,Thursday,-878.09,-0.16
10194,2003-11-25,Lyon,No asignado,EMEA,69004,S10_1949,Classic Cars,42,100.0,214,7290.36,6919.55,2003,11,Tuesday,-370.81,-0.05
10206,2003-12-05,Vancouver,BC,No asignado,V3F 2K1,S10_1949,Classic Cars,47,100.0,214,9064.89,8960.79,2003,12,Friday,-104.1,-0.01
10215,2004-01-29,Burbank,CA,No asignado,94019,S10_1949,Classic Cars,35,100.0,214,6075.3,6548.95,2004,1,Thursday,473.65,0.08
10228,2004-03-10,Cambridge,MA,No asignado,51247,S10_1949,Classic Cars,29,100.0,214,6463.23,5848.49,2004,3,Wednesday,-614.74,-0.1
10245,2004-05-04,New Haven,CT,No asignado,97823,S10_1949,Classic Cars,34,100.0,214,6120.34,6468.83,2004,5,Tuesday,348.49,0.06
10258,2004-06-15,Minato-ku,Tokyo,Japan,106-0032,S10_1949,Classic Cars,32,100.0,214,7680.64,6468.05,2004,6,Tuesday,-1212.59,-0.16
10270,2004-07-19,Chatswood,NSW,APAC,2067,S10_1949,Classic Cars,21,100.0,214,4905.39,4518.81,2004,7,Monday,-386.58,-0.08
10280,2004-08-17,Torino,No asignado,EMEA,10100,S10_1949,Classic Cars,34,100.0,214,8014.82,6944.08,2004,8,Tuesday,-1070.74,-0.13
10291,2004-09-08,Boras,No asignado,EMEA,S-844 67,S10_1949,Classic Cars,37,100.0,214,7136.19,7214.22,2004,9,Wednesday,78.03,0.01
10304,2004-10-11,Versailles,No asignado,EMEA,78000,S10_1949,Classic Cars,47,100.0,214,10172.7,9106.5,2004,10,Monday,-1066.2,-0.1
10312,2004-10-21,San Rafael,CA,No asignado,97562,S10_1949,Classic Cars,48,100.0,214,11623.7,9037.27,2004,10,Thursday,-2586.43,-0.22
10322,2004-11-04,Nashua,NH,No asignado,62005,S10_1949,Classic Cars,40,100.0,214,6000.4,6959.48,2004,11,Thursday,959.08,0.16
10333,2004-11-18,San Francisco,CA,No asignado,00000,S10_1949,Classic Cars,26,100.0,214,3003.0,4573.16,2004,11,Thursday,1570.16,0.52
10347,2004-11-29,Melbourne,Victoria,APAC,3004,S10_1949,Classic Cars,30,100.0,214,3944.7,5823.3,2004,11,Monday,1878.6,0.48
10357,2004-12-10,San Rafael,CA,No asignado,97562,S10_1949,Classic Cars,32,100.0,214,5691.84,5935.08,2004,12,Friday,243.24,0.04
10369,2005-01-20,Brickhaven,MA,No asignado,58339,S10_1949,Classic Cars,41,100.0,214,4514.92,6961.29,2005,1,Thursday,2446.37,0.54
10381,2005-02-17,San Francisco,CA,No asignado,00000,S10_1949,Classic Cars,36,100.0,214,8254.8,6957.29,2005,2,Thursday,-1297.51,-0.16
10391,2005-03-09,North Sydney,NSW,APAC,2060,S10_1949,Classic Cars,24,100.0,214,2416.56,4603.22,2005,3,Wednesday,2186.66,0.9
10411,2005-05-01,Montreal,Quebec,No asignado,H1J 1C3,S10_1949,Classic Cars,23,100.0,214,4140.23,4494.48,2005,5,Sunday,354.25,0.09
10424,2005-05-31,Madrid,No asignado,EMEA,28034,S10_1949,Classic Cars,50,100.0,214,12001.0,9730.2,2005,5,Tuesday,-2270.8,-0.19
10107,2003-02-24,NYC,NY,No asignado,10022,S10_2016,Motorcycles,39,99.91,118,3896.49,4325.3,2003,2,Monday,428.81,0.11
10120,2003-04-29,Melbourne,Victoria,APAC,3004,S10_2016,Motorcycles,29,96.34,118,2793.86,2798.11,2003,4,Tuesday,4.25,0.0
10134,2003-07-01,Paris,No asignado,EMEA,75508,S10_2016,Motorcycles,27,100.0,118,3307.77,3528.45,2003,7,Tuesday,220.68,0.07
10145,2003-08-25,Pasadena,CA,No asignado,90003,S10_2016,Motorcycles,37,100.0,118,5192.95,4813.46,2003,8,Monday,-379.49,-0.07
10159,2003-10-10,San Francisco,CA,No asignado,00000,S10_2016,Motorcycles,37,100.0,118,5016.83,4805.15,2003,10,Friday,-211.68,-0.04
10168,2003-10-28,Burlingame,CA,No asignado,94217,S10_2016,Motorcycles,27,100.0,118,3660.93,3496.88,2003,10,Tuesday,-164.05,-0.04
10180,2003-11-11,Lille,No asignado,EMEA,59000,S10_2016,Motorcycles,42,100.0,118,4695.6,4801.57,2003,11,Tuesday,105.97,0.02
10188,2003-11-18,Bergen,No asignado,EMEA,N 5804,S10_2016,Motorcycles,38,96.34,118,3660.92,3634.77,2003,11,Tuesday,-26.15,-0.01
10201,2003-12-01,San Francisco,CA,No asignado,00000,S10_2016,Motorcycles,24,100.0,118,3025.92,2967.45,2003,12,Monday,-58.47,-0.02
10210,2004-01-12,Osaka,Osaka,Japan,530-0003,S10_2016,Motorcycles,23,100.0,118,3009.09,2914.81,2004,1,Monday,-94.28,-0.03
10223,2004-02-20,Melbourne,Victoria,APAC,3004,S10_2016,Motorcycles,47,100.0,118,5422.39,5862.78,2004,2,Friday,440.39,0.08
10236,2004-04-03,Philadelphia,PA,No asignado,71270,S10_2016,Motorcycles,22,100.0,118,2852.08,2884.15,2004,4,Saturday,32.07,0.01
10251,2004-05-18,Newark,NJ,No asignado,94019,S10_2016,Motorcycles,44,100.0,118,5756.52,5584.77,2004,5,Tuesday,-171.75,-0.03
10263,2004-06-28,Bridgewater,CT,No asignado,97562,S10_2016,Motorcycles,40,100.0,118,4472.0,4718.61,2004,6,Monday,246.61,0.06
10275,2004-07-23,Nantes,No asignado,EMEA,44000,S10_2016,Motorcycles,22,100.0,118,2904.44,2825.25,2004,7,Friday,-79.19,-0.03
10285,2004-08-27,Cambridge,MA,No asignado,51247,S10_2016,Motorcycles,47,100.0,118,6484.59,5837.73,2004,8,Friday,-646.86,-0.1
10298,2004-09-27,Nantes,No asignado,EMEA,44000,S10_2016,Motorcycles,39,96.34,118,3757.26,3689.47,2004,9,Monday,-67.79,-0.02
10308,2004-10-15,White Plains,NY,No asignado,24067,S10_2016,Motorcycles,34,100.0,118,4043.96,3915.26,2004,10,Friday,-128.7,-0.03
10318,2004-11-02,Allentown,PA,No asignado,70267,S10_2016,Motorcycles,45,100.0,118,5566.5,5684.29,2004,11,Tuesday,117.79,0.02
10329,2004-11-15,NYC,NY,No asignado,10022,S10_2016,Motorcycles,20,100.0,118,3176.0,2529.15,2004,11,Monday,-646.85,-0.2
10339,2004-11-23,Minato-ku,Tokyo,Japan,106-0032,S10_2016,Motorcycles,40,68.92,118,2756.8,2756.51,2004,11,Tuesday,-0.29,-0.0
10361,2004-12-17,Chatswood,NSW,APAC,2067,S10_2016,Motorcycles,26,51.15,118,1329.9,1345.13,2004,12,Friday,15.23,0.01
10374,2005-02-02,South Brisbane,Queensland,APAC,4101,S10_2016,Motorcycles,39,100.0,118,5288.01,4766.81,2005,2,Wednesday,-521.2,-0.1
10388,2005-03-03,New Bedford,MA,No asignado,50553,S10_2016,Motorcycles,50,44.51,118,2225.5,2231.03,2005,3,Thursday,5.53,0.0
10402,2005-04-07,Paris,No asignado,EMEA,75016,S10_2016,Motorcycles,45,100.0,118,5833.8,6165.17,2005,4,Thursday,331.37,0.06
10417,2005-05-13,Madrid,No asignado,EMEA,28034,S10_2016,Motorcycles,45,100.0,118,5887.35,5646.69,2005,5,Friday,-240.66,-0.04
10107,2003-02-24,NYC,NY,No asignado,10022,S10_4698,Motorcycles,27,100.0,193,6065.55,5067.97,2003,2,Monday,-997.58,-0.16
10120,2003-04-29,Melbourne,Victoria,APAC,3004,S10_4698,Motorcycles,46,100.0,193,9264.86,8930.2,2003,4,Tuesday,-334.66,-0.04
10134,2003-07-01,Paris,No asignado,EMEA,75508,S10_4698,Motorcycles,31,100.0,193,7023.98,6392.93,2003,7,Tuesday,-631.05,-0.09
10145,2003-08-25,Pasadena,CA,No asignado,90003,S10_4698,Motorcycles,33,100.0,193,5176.38,5737.66,2003,8,Monday,561.28,0.11
10159,2003-10-10,San Francisco,CA,No asignado,00000,S10_4698,Motorcycles,22,100.0,193,4132.7,4015.2,2003,10,Friday,-117.5,-0.03
10168,2003-10-28,Burlingame,CA,No asignado,94217,S10_4698,Motorcycles,20,100.0,193,4183.0,3973.87,2003,10,Tuesday,-209.13,-0.05
10180,2003-11-11,Lille,No asignado,EMEA,59000,S10_4698,Motorcycles,41,100.0,193,8892.9,7780.62,2003,11,Tuesday,-1112.28,-0.13
10188,2003-11-18,Bergen,No asignado,EMEA,N 5804,S10_4698,Motorcycles,45,100.0,193,8714.7,8821.82,2003,11,Tuesday,107.12,0.01
10201,2003-12-01,San Francisco,CA,No asignado,00000,S10_4698,Motorcycles,49,100.0,193,8065.89,8955.29,2003,12,Monday,889.4,0.11
10210,2004-01-12,Osaka,Osaka,Japan,530-0003,S10_4698,Motorcycles,34,100.0,193,6123.4,6029.61,2004,1,Monday,-93.79,-0.02
10223,2004-02-20,Melbourne,Victoria,APAC,3004,S10_4698,Motorcycles,49,100.0,193,9774.03,9049.62,2004,2,Friday,-724.41,-0.07
10237,2004-04-05,NYC,NY,No asignado,10022,S10_4698,Motorcycles,39,100.0,193,7023.9,7354.42,2004,4,Monday,330.52,0.05
10251,2004-05-18,Newark,NJ,No asignado,94019,S10_4698,Motorcycles,43,100.0,193,7078.23,7662.09,2004,5,Tuesday,583.86,0.08
10263,2004-06-28,Bridgewater,CT,No asignado,97562,S10_4698,Motorcycles,41,100.0,193,8336.94,7583.56,2004,6,Monday,-753.38,-0.09
10275,2004-07-23,Nantes,No asignado,EMEA,44000,S10_4698,Motorcycles,36,100.0,193,6901.92,6934.32,2004,7,Friday,32.4,0.0
10285,2004-08-27,Cambridge,MA,No asignado,51247,S10_4698,Motorcycles,27,100.0,193,5438.07,5057.94,2004,8,Friday,-380.13,-0.07
10299,2004-09-30,Helsinki,No asignado,EMEA,21240,S10_4698,Motorcycles,29,100.0,193,6683.34,5653.79,2004,9,Thursday,-1029.55,-0.15
10308,2004-10-15,White Plains,NY,No asignado,24067,S10_4698,Motorcycles,20,100.0,193,4570.4,3971.47,2004,10,Friday,-598.93,-0.13
10318,2004-11-02,Allentown,PA,No asignado,70267,S10_4698,Motorcycles,37,100.0,193,7667.14,7227.74,2004,11,Tuesday,-439.4,-0.06
10329,2004-11-15,NYC,NY,No asignado,10022,S10_4698,Motorcycles,26,100.0,193,5868.2,4656.83,2004,11,Monday,-1211.37,-0.21
10339,2004-11-23,Minato-ku,Tokyo,Japan,106-0032,S10_4698,Motorcycles,39,76.67,193,2990.13,3002.38,2004,11,Tuesday,12.25,0.0
10362,2005-01-05,Burlingame,CA,No asignado,94217,S10_4698,Motorcycles,22,100.0,193,3664.1,4025.44,2005,1,Wednesday,361.34,0.1
10374,2005-02-02,South Brisbane,Queensland,APAC,4101,S10_4698,Motorcycles,22,100.0,193,3834.38,3984.15,2005,2,Wednesday,149.77,0.04
10388,2005-03-03,New Bedford,MA,No asignado,50553,S10_4698,Motorcycles,21,86.77,193,1822.17,1842.73,2005,3,Thursday,20.56,0.01
10403,2005-04-08,Liverpool,Isle of Wight,EMEA,WX1 6LT,S10_4698,Motorcycles,66,100.0,193,11886.6,9833.86,2005,4,Friday,-2052.74,-0.17
10417,2005-05-13,Madrid,No asignado,EMEA,28034,S10_4698,Motorcycles,56,100.0,193,9218.16,9831.62,2005,5,Friday,613.46,0.07
10105,2003-02-11,Kobenhavn,No asignado,EMEA,1734,S10_4757,Classic Cars,50,100.0,136,7208.0,7118.89,2003,2,Tuesday,-89.11,-0.01
10119,2003-04-28,Salzburg,No asignado,EMEA,5020,S10_4757,Classic Cars,46,100.0,136,5004.8,5645.86,2003,4,Monday,641.06,0.13
10129,2003-06-12,London,Isle of Wight,EMEA,WX3 6FW,S10_4757,Classic Cars,33,100.0,136,4398.24,4334.08,2003,6,Thursday,-64.16,-0.01
10143,2003-08-10,New Bedford,MA,No asignado,50553,S10_4757,Classic Cars,49,100.0,136,5597.76,6431.07,2003,8,Sunday,833.31,0.15
10155,2003-10-06,Helsinki,No asignado,EMEA,21240,S10_4757,Classic Cars,32,100.0,136,4526.08,4109.44,2003,10,Monday,-416.64,-0.09
10167,2003-10-23,Boras,No asignado,EMEA,S-844 67,S10_4757,Classic Cars,44,100.0,136,5924.16,5543.51,2003,10,Thursday,-380.65,-0.06
10178,2003-11-08,Toulouse,No asignado,EMEA,31000,S10_4757,Classic Cars,24,100.0,136,3492.48,3239.42,2003,11,Saturday,-253.06,-0.07
10186,2003-11-14,London,Isle of Wight,EMEA,WA1 1DP,S10_4757,Classic Cars,26,100.0,136,3854.24,3590.58,2003,11,Friday,-263.66,-0.07
10197,2003-11-26,Barcelona,No asignado,EMEA,8022,S10_4757,Classic Cars,45,100.0,136,5324.4,5504.47,2003,11,Wednesday,180.07,0.03
10209,2004-01-09,Los Angeles,CA,No asignado,00000,S10_4757,Classic Cars,39,100.0,136,5197.92,5159.4,2004,1,Friday,-38.52,-0.01
10222,2004-02-19,San Diego,CA,No asignado,91217,S10_4757,Classic Cars,49,100.0,136,5997.6,6436.42,2004,2,Thursday,438.82,0.07
10248,2004-05-07,NYC,NY,No asignado,10022,S10_4757,Classic Cars,20,100.0,136,2910.4,2859.84,2004,5,Friday,-50.56,-0.02
10261,2004-06-17,Montreal,Quebec,No asignado,H1J 1C3,S10_4757,Classic Cars,27,100.0,136,3378.24,3615.8,2004,6,Thursday,237.56,0.07
10273,2004-07-21,Bruxelles,No asignado,EMEA,B-1180,S10_4757,Classic Cars,30,100.0,136,3508.8,3968.72,2004,7,Wednesday,459.92,0.13
10283,2004-08-20,Tsawassen,BC,No asignado,T2F 8M4,S10_4757,Classic Cars,25,100.0,136,2992.0,3183.79,2004,8,Friday,191.79,0.06
10295,2004-09-10,Boston,MA,No asignado,51003,S10_4757,Classic Cars,24,100.0,136,3427.2,3148.07,2004,9,Friday,-279.13,-0.08
10307,2004-10-14,Philadelphia,PA,No asignado,71270,S10_4757,Classic Cars,22,100.0,136,2692.8,3040.76,2004,10,Thursday,347.96,0.13
10316,2004-11-01,Cowes,Isle of Wight,EMEA,PO31 7PJ,S10_4757,Classic Cars,33,100.0,136,4128.96,4334.08,2004,11,Monday,205.12,0.05
10325,2004-11-05,Stavern,No asignado,EMEA,4110,S10_4757,Classic Cars,47,64.93,136,3051.71,3081.76,2004,11,Friday,30.05,0.01
10337,2004-11-21,NYC,NY,No asignado,10022,S10_4757,Classic Cars,25,48.05,136,1201.25,1198.84,2004,11,Sunday,-2.41,-0.0
10350,2004-12-02,Madrid,No asignado,EMEA,28034,S10_4757,Classic Cars,26,75.47,136,1962.22,1971.18,2004,12,Thursday,8.96,0.0
10359,2004-12-15,Reims,No asignado,EMEA,51100,S10_4757,Classic Cars,48,54.68,136,2624.64,2646.27,2004,12,Wednesday,21.63,0.01
10373,2005-01-31,Oulu,No asignado,EMEA,90110,S10_4757,Classic Cars,39,100.0,136,4046.25,4981.49,2005,1,Monday,935.24,0.23
10384,2005-02-23,San Francisco,CA,No asignado,00000,S10_4757,Classic Cars,34,100.0,136,4846.7,4610.22,2005,2,Wednesday,-236.48,-0.05
10395,2005-03-17,Paris,No asignado,EMEA,75508,S10_4757,Classic Cars,32,100.0,136,3370.56,4099.06,2005,3,Thursday,728.5,0.22
10400,2005-04-01,San Jose,CA,No asignado,94217,S10_4757,Classic Cars,64,100.0,136,9661.44,8936.62,2005,4,Friday,-724.82,-0.08
10414,2005-05-06,Boston,MA,No asignado,51003,S10_4757,Classic Cars,19,100.0,136,2764.88,2513.26,2005,5,Friday,-251.62,-0.09
10103,2003-01-29,Stavern,No asignado,EMEA,4110,S10_4962,Classic Cars,42,100.0,147,5398.26,6000.44,2003,1,Wednesday,602.18,0.11
10114,2003-04-01,Paris,No asignado,EMEA,75012,S10_4962,Classic Cars,31,100.0,147,4305.28,4452.66,2003,4,Tuesday,147.38,0.03
10126,2003-05-28,Madrid,No asignado,EMEA,28023,S10_4962,Classic Cars,22,100.0,147,3347.74,3444.9,2003,5,Wednesday,97.16,0.03
10140,2003-07-24,Burlingame,CA,No asignado,94217,S10_4962,Classic Cars,26,100.0,147,3188.12,3731.51,2003,7,Thursday,543.39,0.17
10150,2003-09-19,Singapore,No asignado,Japan,79903,S10_4962,Classic Cars,20,100.0,147,3191.2,2975.66,2003,9,Friday,-215.54,-0.07
10164,2003-10-21,Graz,No asignado,EMEA,8010,S10_4962,Classic Cars,21,100.0,147,3536.82,3116.4,2003,10,Tuesday,-420.42,-0.12
10175,2003-11-06,London,Isle of Wight,EMEA,WX3 6FW,S10_4962,Classic Cars,33,100.0,147,5362.83,4704.05,2003,11,Thursday,-658.78,-0.12
10183,2003-11-13,Philadelphia,PA,No asignado,71270,S10_4962,Classic Cars,28,100.0,147,3433.36,4139.86,2003,11,Thursday,706.5,0.21
10194,2003-11-25,Lyon,No asignado,EMEA,69004,S10_4962,Classic Cars,26,100.0,147,4263.74,3513.78,2003,11,Tuesday,-749.96,-0.18
10207,2003-12-09,Boston,MA,No asignado,51003,S10_4962,Classic Cars,31,100.0,147,4076.19,4340.31,2003,12,Tuesday,264.12,0.06
10217,2004-02-04,Singapore,No asignado,APAC,69045,S10_4962,Classic Cars,48,100.0,147,7020.48,6963.31,2004,2,Wednesday,-57.17,-0.01
10229,2004-03-11,San Rafael,CA,No asignado,97562,S10_4962,Classic Cars,50,100.0,147,6426.5,6834.73,2004,3,Thursday,408.23,0.06
10245,2004-05-04,New Haven,CT,No asignado,97823,S10_4962,Classic Cars,28,100.0,147,4591.72,4150.85,2004,5,Tuesday,-440.87,-0.1
10259,2004-06-15,Singapore,No asignado,APAC,69045,S10_4962,Classic Cars,26,100.0,147,4033.38,3700.5,2004,6,Tuesday,-332.88,-0.08
10270,2004-07-19,Chatswood,NSW,APAC,2067,S10_4962,Classic Cars,32,100.0,147,4302.08,4459.76,2004,7,Monday,157.68,0.04
10281,2004-08-19,Allentown,PA,No asignado,70267,S10_4962,Classic Cars,44,100.0,147,7020.64,6492.65,2004,8,Thursday,-527.99,-0.08
10291,2004-09-08,Boras,No asignado,EMEA,S-844 67,S10_4962,Classic Cars,30,100.0,147,3855.9,4334.22,2004,9,Wednesday,478.32,0.12
10305,2004-10-13,Cambridge,MA,No asignado,51247,S10_4962,Classic Cars,38,100.0,147,6680.78,6098.86,2004,10,Wednesday,-581.92,-0.09
10313,2004-10-22,Vancouver,BC,No asignado,V3F 2K1,S10_4962,Classic Cars,40,100.0,147,6678.0,6172.62,2004,10,Friday,-505.38,-0.08
10322,2004-11-04,Nashua,NH,No asignado,62005,S10_4962,Classic Cars,46,61.99,147,2851.54,2856.53,2004,11,Thursday,4.99,0.0
10334,2004-11-19,Lule,No asignado,EMEA,S-958 22,S10_4962,Classic Cars,26,100.0,147,3188.12,3511.39,2004,11,Friday,323.27,0.1
10347,2004-11-29,Melbourne,Victoria,APAC,3004,S10_4962,Classic Cars,27,100.0,147,4428.0,4240.33,2004,11,Monday,-187.67,-0.04
10357,2004-12-10,San Rafael,CA,No asignado,97562,S10_4962,Classic Cars,43,100.0,147,5780.92,6358.08,2004,12,Friday,577.16,0.1
10370,2005-01-20,North Sydney,NSW,APAC,2060,S10_4962,Classic Cars,35,65.63,147,2297.05,2302.41,2005,1,Thursday,5.36,0.0
10381,2005-02-17,San Francisco,CA,No asignado,00000,S10_4962,Classic Cars,37,100.0,147,6231.54,5665.97,2005,2,Thursday,-565.57,-0.09
10391,2005-03-09,North Sydney,NSW,APAC,2060,S10_4962,Classic Cars,37,46.9,147,1735.3,1743.63,2005,3,Wednesday,8.33,0.0
10411,2005-05-01,Montreal,Quebec,No asignado,H1J 1C3,S10_4962,Classic Cars,27,100.0,147,4427.73,4326.82,2005,5,Sunday,-100.91,-0.02
10425,2005-05-31,Nantes,No asignado,EMEA,44000,S10_4962,Classic Cars,38,100.0,147,5894.94,5976.94,2005,5,Tuesday,82.0,0.01
10108,2003-03-03,Makati City,No asignado,Japan,1227 MM,S12_1099,Classic Cars,33,100.0,194,5265.15,5837.98,2003,3,Monday,572.83,0.11
10122,2003-05-08,Marseille,No asignado,EMEA,13008,S12_1099,Classic Cars,42,100.0,194,7599.9,7515.94,2003,5,Thursday,-83.96,-0.01
10135,2003-07-02,San Rafael,CA,No asignado,97562,S12_1099,Classic Cars,42,100.0,194,8008.56,7359.05,2003,7,Wednesday,-649.51,-0.08
10147,2003-09-05,Brickhaven,MA,No asignado,58339,S12_1099,Classic Cars,48,100.0,194,9245.76,9091.23,2003,9,Friday,-154.53,-0.02
10159,2003-10-10,San Francisco,CA,No asignado,00000,S12_1099,Classic Cars,41,100.0,194,8296.35,7626.52,2003,10,Friday,-669.83,-0.08
10169,2003-11-04,North Sydney,NSW,APAC,2060,S12_1099,Classic Cars,30,100.0,194,5019.9,5260.34,2003,11,Tuesday,240.44,0.05
10181,2003-11-12,Bergen,No asignado,EMEA,N 5804,S12_1099,Classic Cars,27,100.0,194,5411.07,5101.34,2003,11,Wednesday,-309.73,-0.06
10191,2003-11-20,Koln,No asignado,EMEA,50739,S12_1099,Classic Cars,21,100.0,194,3840.9,3639.65,2003,11,Thursday,-201.25,-0.05
10203,2003-12-02,Madrid,No asignado,EMEA,28034,S12_1099,Classic Cars,20,100.0,194,3930.4,3496.25,2003,12,Tuesday,-434.15,-0.11
10211,2004-01-15,Paris,No asignado,EMEA,75016,S12_1099,Classic Cars,41,100.0,194,7498.9,7832.13,2004,1,Thursday,333.23,0.04
10225,2004-02-22,Gensve,No asignado,EMEA,1203,S12_1099,Classic Cars,27,100.0,194,4517.91,5104.42,2004,2,Sunday,586.51,0.13
10238,2004-04-09,Kobenhavn,No asignado,EMEA,1734,S12_1099,Classic Cars,28,100.0,194,5774.72,5202.23,2004,4,Friday,-572.49,-0.1
10253,2004-06-01,Liverpool,Isle of Wight,EMEA,WX1 6LT,S12_1099,Classic Cars,24,100.0,194,3922.56,3931.31,2004,6,Tuesday,8.75,0.0
10266,2004-07-06,Reggio Emilia,No asignado,EMEA,42100,S12_1099,Classic Cars,44,100.0,194,9160.36,9106.62,2004,7,Tuesday,-53.74,-0.01
10276,2004-08-02,Brickhaven,MA,No asignado,58339,S12_1099,Classic Cars,50,100.0,194,9631.0,9211.11,2004,8,Monday,-419.89,-0.04
